iter	Passed	Remaining
758	6876	2183
759	6881	2173
760	6886	2162
761	6890	2152
762	6895	2141
763	6899	2131
764	6904	2120
765	6909	2110
766	6915	2100
767	6927	2092
768	6933	2082
769	6939	2072
770	6943	2062
771	6947	2051
772	6951	2041
773	6962	2032
774	6974	2024
775	6980	2014
776	6986	2005
777	6991	1995
778	6997	1985
779	7004	1975
780	7009	1965
781	7015	1955
782	7019	1945
783	7023	1935
784	7035	1927
785	7040	1916
786	7047	1907
787	7051	1897
788	7054	1886
789	7062	1877
790	7066	1867
791	7068	1856
792	7072	1846
793	7077	1836
794	7081	1826
795	7085	1815
796	7091	1806
797	7095	1796
798	7099	1785
799	7103	1775
800	7108	1765
801	7113	1756
802	7117	1746
803	7122	1736
804	7126	1726
805	7131	1716
806	7136	1706
807	7141	1696
808	7150	1688
809	7162	1680
810	7174	1671
811	7182	1663
812	7195	1655
813	7212	1648
814	7229	1641
815	7239	1632
816	7245	1622
817	7251	1613
818	7257	1603
819	7274	1596
820	7283	1587
821	7292	1579
822	7302	1570
823	7307	1560
824	7316	1551
825	7320	1542
826	7326	1532
827	7332	1523
828	7336	1513
829	7342	1503
830	7347	1494
831	7352	1484
832	7356	1474
833	7363	1465
834	7367	1455
835	7373	1446
836	7379	1437
837	7384	1427
838	7390	1418
839	7395	1408
840	7399	1398
841	7404	1389
842	7411	1380
843	7415	1370
844	7419	1361
845	7426	1351
846	7431	1342
847	7436	1332
848	7441	1323
849	7445	1313
850	7449	1304
851	7456	1295
852	7460	1285
853	7465	1276
854	7475	1267
855	7480	1258
856	7485	1249
857	7491	1239
858	7495	1230
859	7500	1220
860	7509	1212
861	7528	1205
862	7550	1198
863	7557	1189
864	7564	1180
865	7569	1171
866	7574	1161
867	7585	1153
868	7596	1145
869	7613	1137
870	7621	1128
871	7631	1120
872	7637	1111
873	7647	1102
874	7665	1095
875	7678	1086
876	7683	1077
877	7694	1069
878	7715	1062
879	7722	1053
880	7728	1043
881	7732	1034
882	7739	1025
883	7744	1016
884	7748	1006
885	7754	997
886	7759	988
887	7764	979
888	7770	970
889	7775	961
890	7780	951
891	7788	943
892	7793	933
893	7799	924
894	7804	915
895	7810	906
896	7817	897
897	7822	888
898	7829	879
899	7834	870
900	7840	861
901	7854	853
902	7862	844
903	7868	835
904	7879	827
905	7887	818
906	7899	809
907	7904	800
908	7910	791
909	7915	782
910	7919	773
911	7924	764
912	7929	755
913	7935	746
914	7941	737
915	7950	729
916	7955	720
917	7961	711
918	7967	702
919	7972	693
920	7978	684
921	7990	676
922	7996	667
923	8010	658
924	8024	650
925	8029	641
926	8033	632
927	8038	623
928	8042	614
929	8047	605
930	8053	596
931	8057	587
932	8062	578
933	8068	570
934	8073	561
935	8094	553
936	8105	544
937	8111	536
938	8115	527
939	8119	518
940	8123	509
941	8131	500
942	8135	491
943	8139	482
944	8144	474
945	8148	465
946	8152	456
947	8156	447
948	8161	438
949	8166	429
950	8170	421
951	8175	412
952	8181	403
953	8185	394
954	8189	385
955	8195	377
956	8201	368
957	8206	359
958	8211	351
959	8215	342
960	8221	333
961	8227	324
962	8231	316
963	8235	307
964	8239	298
965	8243	290
966	8247	281
967	8252	272
968	8257	264
969	8261	255
970	8265	246
971	8269	238
972	8274	229
973	8278	220
974	8297	212
975	8302	204
976	8307	195
977	8313	187
978	8319	178
979	8324	169
980	8348	161
981	8356	153
982	8361	144
983	8365	136
984	8373	127
985	8377	118
986	8381	110
987	8387	101
988	8392	93
989	8396	84
990	8400	76
991	8404	67
992	8414	59
993	8419	50
994	8428	42
995	8432	33
996	8436	25
997	8440	16
998	8444	8
999	8448	0
